[INFO] [1783013370.615816289] [basic_navigator]: AMCL localizer: keeping current pose belief.
[INFO] [1783013377.271512076] [basic_navigator]: Nav2 is ready for use!
[INFO] [1783013377.272511245] [basic_navigator]: Nav2 active. Sending goal (3.0, 0.0).
[INFO] [1783013377.294865933] [basic_navigator]: Navigating to goal: 3.0 0.0...
[INFO] [1783013377.351636647] [basic_navigator]: NAVFN_PATH total=118 first5=['(0.00,0.00)', '(0.05,0.00)', '(0.08,0.00)', '(0.10,0.00)', '(0.13,0.00)'] last5=['(2.85,0.00)', '(2.88,0.00)', '(2.90,0.00)', '(2.95,0.00)', '(3.00,0.00)']
[INFO] [1783013377.549274530] [basic_navigator]: [  0.2s] dist=3.00m amcl=(0.00,0.00 yaw=0.00rad) odom=(0.00,0.00 yaw=0.00rad) nav=vx:0.102 wz:0.010 cmd=vx:0.086 wz:0.002
[INFO] [1783013377.752687120] [basic_navigator]: [  0.4s] dist=3.00m amcl=(0.01,0.00 yaw=0.00rad) odom=(0.01,0.00 yaw=0.00rad) nav=vx:0.109 wz:0.003 cmd=vx:0.114 wz:0.005
[INFO] [1783013377.955754511] [basic_navigator]: [  0.6s] dist=3.00m amcl=(0.01,0.00 yaw=0.00rad) odom=(0.01,0.00 yaw=0.00rad) nav=vx:0.103 wz:-0.008 cmd=vx:0.109 wz:0.003
[INFO] [1783013378.163213187] [basic_navigator]: [  0.8s] dist=3.00m amcl=(0.02,0.00 yaw=0.00rad) odom=(0.02,0.00 yaw=0.00rad) nav=vx:0.105 wz:-0.007 cmd=vx:0.102 wz:-0.008
[INFO] [1783013378.367110956] [basic_navigator]: [  1.0s] dist=2.95m amcl=(0.03,0.00 yaw=0.00rad) odom=(0.03,0.00 yaw=0.00rad) nav=vx:0.104 wz:0.002 cmd=vx:0.104 wz:-0.008
[INFO] [1783013378.582916238] [basic_navigator]: [  1.2s] dist=2.95m amcl=(0.04,0.00 yaw=0.00rad) odom=(0.04,0.00 yaw=0.00rad) nav=vx:0.102 wz:0.001 cmd=vx:0.102 wz:0.002
[INFO] [1783013378.791513727] [basic_navigator]: [  1.4s] dist=2.95m amcl=(0.04,0.00 yaw=0.00rad) odom=(0.04,0.00 yaw=0.00rad) nav=vx:0.102 wz:0.005 cmd=vx:0.108 wz:0.004
[INFO] [1783013378.997582004] [basic_navigator]: [  1.7s] dist=2.95m amcl=(0.05,0.00 yaw=0.00rad) odom=(0.05,0.00 yaw=0.00rad) nav=vx:0.103 wz:0.010 cmd=vx:0.108 wz:0.004
[INFO] [1783013379.200851265] [basic_navigator]: [  1.9s] dist=2.95m amcl=(0.05,0.00 yaw=0.00rad) odom=(0.06,0.00 yaw=0.00rad) nav=vx:0.105 wz:0.012 cmd=vx:0.103 wz:0.010
[INFO] [1783013379.406806770] [basic_navigator]: [  2.1s] dist=2.95m amcl=(0.06,0.00 yaw=0.00rad) odom=(0.06,0.00 yaw=0.00rad) nav=vx:0.106 wz:0.012 cmd=vx:0.105 wz:0.012
[INFO] [1783013379.611042590] [basic_navigator]: [  2.3s] dist=2.95m amcl=(0.07,0.00 yaw=0.00rad) odom=(0.07,0.00 yaw=0.00rad) nav=vx:0.102 wz:0.009 cmd=vx:0.106 wz:0.012
[INFO] [1783013379.815343931] [basic_navigator]: [  2.5s] dist=2.90m amcl=(0.08,0.00 yaw=0.00rad) odom=(0.08,0.00 yaw=0.00rad) nav=vx:0.103 wz:0.005 cmd=vx:0.102 wz:0.009
[INFO] [1783013380.029705773] [basic_navigator]: [  2.7s] dist=2.90m amcl=(0.09,0.00 yaw=0.00rad) odom=(0.09,0.00 yaw=0.00rad) nav=vx:0.103 wz:0.002 cmd=vx:0.103 wz:0.005
[INFO] [1783013380.234880930] [basic_navigator]: [  2.9s] dist=2.90m amcl=(0.09,0.00 yaw=0.00rad) odom=(0.09,0.00 yaw=0.00rad) nav=vx:0.100 wz:-0.007 cmd=vx:0.101 wz:-0.009
[INFO] [1783013380.445011272] [basic_navigator]: [  3.1s] dist=2.90m amcl=(0.10,0.00 yaw=0.00rad) odom=(0.10,0.00 yaw=0.00rad) nav=vx:0.102 wz:-0.014 cmd=vx:0.100 wz:-0.007
[INFO] [1783013380.650245190] [basic_navigator]: [  3.3s] dist=2.90m amcl=(0.11,0.00 yaw=0.00rad) odom=(0.11,0.00 yaw=0.00rad) nav=vx:0.103 wz:-0.016 cmd=vx:0.100 wz:-0.020
[INFO] [1783013380.858483975] [basic_navigator]: [  3.5s] dist=2.90m amcl=(0.12,0.00 yaw=0.00rad) odom=(0.12,0.00 yaw=0.00rad) nav=vx:0.101 wz:-0.020 cmd=vx:0.101 wz:-0.011
[INFO] [1783013381.070400716] [basic_navigator]: [  3.7s] dist=2.90m amcl=(0.12,0.00 yaw=0.00rad) odom=(0.12,0.00 yaw=0.00rad) nav=vx:0.105 wz:-0.033 cmd=vx:0.101 wz:-0.011
[INFO] [1783013381.280275414] [basic_navigator]: [  3.9s] dist=2.90m amcl=(0.12,0.00 yaw=0.00rad) odom=(0.12,0.00 yaw=0.00rad) nav=vx:0.108 wz:-0.022 cmd=vx:0.102 wz:-0.025
[INFO] [1783013381.482923892] [basic_navigator]: [  4.1s] dist=2.85m amcl=(0.13,0.00 yaw=-0.00rad) odom=(0.13,0.00 yaw=-0.00rad) nav=vx:0.106 wz:-0.018 cmd=vx:0.105 wz:-0.033
[INFO] [1783013381.690191750] [basic_navigator]: [  4.3s] dist=2.85m amcl=(0.13,0.00 yaw=-0.00rad) odom=(0.13,0.00 yaw=-0.00rad) nav=vx:0.106 wz:-0.030 cmd=vx:0.104 wz:-0.031
[INFO] [1783013381.893512127] [basic_navigator]: [  4.5s] dist=2.85m amcl=(0.14,0.00 yaw=-0.00rad) odom=(0.14,0.00 yaw=-0.00rad) nav=vx:0.103 wz:-0.019 cmd=vx:0.105 wz:-0.024
[INFO] [1783013382.106265150] [basic_navigator]: [  4.8s] dist=2.85m amcl=(0.15,0.00 yaw=-0.01rad) odom=(0.15,0.00 yaw=-0.01rad) nav=vx:0.101 wz:-0.019 cmd=vx:0.103 wz:-0.019
[INFO] [1783013382.315733810] [basic_navigator]: [  5.0s] dist=2.85m amcl=(0.16,0.00 yaw=-0.01rad) odom=(0.16,0.00 yaw=-0.01rad) nav=vx:0.105 wz:-0.022 cmd=vx:0.105 wz:-0.019
[INFO] [1783013382.523836811] [basic_navigator]: [  5.2s] dist=2.85m amcl=(0.16,0.00 yaw=-0.01rad) odom=(0.17,0.00 yaw=-0.01rad) nav=vx:0.101 wz:-0.028 cmd=vx:0.105 wz:-0.022
[INFO] [1783013382.727145968] [basic_navigator]: [  5.4s] dist=2.85m amcl=(0.17,-0.00 yaw=-0.01rad) odom=(0.17,-0.00 yaw=-0.01rad) nav=vx:0.104 wz:-0.021 cmd=vx:0.101 wz:-0.028
[INFO] [1783013382.936472554] [basic_navigator]: [  5.6s] dist=2.80m amcl=(0.18,-0.00 yaw=-0.01rad) odom=(0.18,-0.00 yaw=-0.01rad) nav=vx:0.105 wz:-0.016 cmd=vx:0.108 wz:-0.017
