[INFO] [1783012940.348528884] [basic_navigator]: AMCL localizer: keeping current pose belief.
[INFO] [1783012945.367553495] [basic_navigator]: Nav2 is ready for use!
[INFO] [1783012945.368412567] [basic_navigator]: Nav2 active. Sending goal (3.0, 0.0).
[INFO] [1783012945.376475691] [basic_navigator]: Navigating to goal: 3.0 0.0...
[INFO] [1783012945.392463448] [basic_navigator]: NAVFN_PATH total=238 first5=['(-3.00,0.00)', '(-2.95,0.00)', '(-2.92,0.00)', '(-2.90,0.00)', '(-2.87,0.00)'] last5=['(2.85,0.00)', '(2.88,0.00)', '(2.90,0.00)', '(2.95,0.00)', '(3.00,0.00)']
[INFO] [1783012945.583455646] [basic_navigator]: [  0.2s] dist=6.00m amcl=(-2.99,0.00 yaw=0.00rad) odom=(0.01,0.00 yaw=0.00rad) nav=vx:0.102 wz:0.010 cmd=vx:0.102 wz:0.010
[INFO] [1783012945.785575673] [basic_navigator]: [  0.4s] dist=6.00m amcl=(-2.98,0.00 yaw=0.00rad) odom=(0.02,0.00 yaw=0.00rad) nav=vx:0.108 wz:0.003 cmd=vx:0.108 wz:0.003
[INFO] [1783012945.988153260] [basic_navigator]: [  0.6s] dist=5.95m amcl=(-2.95,0.00 yaw=0.00rad) odom=(0.05,0.00 yaw=0.00rad) nav=vx:0.101 wz:-0.009 cmd=vx:0.101 wz:-0.009
[INFO] [1783012946.191617726] [basic_navigator]: [  0.8s] dist=5.93m amcl=(-2.94,0.00 yaw=-0.00rad) odom=(0.06,0.00 yaw=-0.00rad) nav=vx:0.104 wz:-0.012 cmd=vx:0.104 wz:-0.012
[INFO] [1783012946.394046526] [basic_navigator]: [  1.0s] dist=5.93m amcl=(-2.92,0.00 yaw=-0.00rad) odom=(0.08,0.00 yaw=-0.00rad) nav=vx:0.103 wz:-0.002 cmd=vx:0.103 wz:-0.002
[INFO] [1783012946.596809369] [basic_navigator]: [  1.2s] dist=5.90m amcl=(-2.90,0.00 yaw=-0.00rad) odom=(0.10,0.00 yaw=-0.00rad) nav=vx:0.102 wz:0.001 cmd=vx:0.102 wz:0.001
[INFO] [1783012946.799460421] [basic_navigator]: [  1.4s] dist=5.90m amcl=(-2.88,-0.00 yaw=-0.00rad) odom=(0.12,-0.00 yaw=-0.00rad) nav=vx:0.108 wz:0.004 cmd=vx:0.108 wz:0.004
[INFO] [1783012947.002468030] [basic_navigator]: [  1.6s] dist=5.85m amcl=(-2.86,-0.00 yaw=-0.00rad) odom=(0.14,-0.00 yaw=-0.00rad) nav=vx:0.100 wz:0.008 cmd=vx:0.100 wz:0.008
[INFO] [1783012947.204813720] [basic_navigator]: [  1.8s] dist=5.85m amcl=(-2.84,-0.00 yaw=0.00rad) odom=(0.16,-0.00 yaw=0.00rad) nav=vx:0.103 wz:0.022 cmd=vx:0.103 wz:0.022
[INFO] [1783012947.407236101] [basic_navigator]: [  2.0s] dist=5.82m amcl=(-2.82,0.00 yaw=0.01rad) odom=(0.18,0.00 yaw=0.01rad) nav=vx:0.109 wz:0.020 cmd=vx:0.109 wz:0.020
[INFO] [1783012947.610074854] [basic_navigator]: [  2.2s] dist=5.80m amcl=(-2.81,0.00 yaw=0.01rad) odom=(0.20,0.00 yaw=0.01rad) nav=vx:0.104 wz:0.021 cmd=vx:0.104 wz:0.021
[INFO] [1783012947.811963076] [basic_navigator]: [  2.4s] dist=5.80m amcl=(-2.79,0.00 yaw=0.01rad) odom=(0.21,0.00 yaw=0.01rad) nav=vx:0.103 wz:0.007 cmd=vx:0.105 wz:0.011
[INFO] [1783012948.013318336] [basic_navigator]: [  2.6s] dist=5.75m amcl=(-2.77,0.00 yaw=0.01rad) odom=(0.23,0.00 yaw=0.01rad) nav=vx:0.103 wz:0.004 cmd=vx:0.103 wz:0.005
[INFO] [1783012948.215426415] [basic_navigator]: [  2.8s] dist=5.75m amcl=(-2.75,0.00 yaw=0.01rad) odom=(0.25,0.00 yaw=0.01rad) nav=vx:0.100 wz:-0.007 cmd=vx:0.101 wz:-0.007
[INFO] [1783012948.417992689] [basic_navigator]: [  3.0s] dist=5.72m amcl=(-2.73,0.00 yaw=0.01rad) odom=(0.27,0.00 yaw=0.01rad) nav=vx:0.102 wz:-0.013 cmd=vx:0.102 wz:-0.010
[INFO] [1783012948.620331013] [basic_navigator]: [  3.2s] dist=5.70m amcl=(-2.71,0.00 yaw=0.01rad) odom=(0.29,0.00 yaw=0.01rad) nav=vx:0.102 wz:-0.015 cmd=vx:0.100 wz:-0.019
[INFO] [1783012948.823059260] [basic_navigator]: [  3.4s] dist=5.70m amcl=(-2.70,0.00 yaw=0.01rad) odom=(0.31,0.00 yaw=0.01rad) nav=vx:0.101 wz:-0.017 cmd=vx:0.100 wz:-0.010
[INFO] [1783012949.024928656] [basic_navigator]: [  3.6s] dist=5.65m amcl=(-2.67,0.00 yaw=0.00rad) odom=(0.33,0.00 yaw=0.00rad) nav=vx:0.105 wz:-0.031 cmd=vx:0.105 wz:-0.031
[INFO] [1783012949.226892656] [basic_navigator]: [  3.8s] dist=5.65m amcl=(-2.66,0.00 yaw=-0.00rad) odom=(0.34,0.00 yaw=-0.00rad) nav=vx:0.108 wz:-0.025 cmd=vx:0.107 wz:-0.030
[INFO] [1783012949.429470514] [basic_navigator]: [  4.0s] dist=5.65m amcl=(-2.64,0.00 yaw=-0.01rad) odom=(0.37,0.00 yaw=-0.01rad) nav=vx:0.106 wz:-0.019 cmd=vx:0.108 wz:-0.020
[INFO] [1783012949.631852894] [basic_navigator]: [  4.3s] dist=5.60m amcl=(-2.62,0.00 yaw=-0.01rad) odom=(0.38,0.00 yaw=-0.01rad) nav=vx:0.106 wz:-0.028 cmd=vx:0.105 wz:-0.029
[INFO] [1783012949.834343009] [basic_navigator]: [  4.5s] dist=5.60m amcl=(-2.60,0.00 yaw=-0.02rad) odom=(0.40,0.00 yaw=-0.02rad) nav=vx:0.104 wz:-0.018 cmd=vx:0.105 wz:-0.022
[INFO] [1783012950.037045623] [basic_navigator]: [  4.7s] dist=5.57m amcl=(-2.58,0.00 yaw=-0.02rad) odom=(0.42,0.00 yaw=-0.02rad) nav=vx:0.101 wz:-0.019 cmd=vx:0.103 wz:-0.015
